"Wojewodztwo";"Okres";"Rok";"Wynagrodzenie brutto";"Jednostka miary"
"DOLNOŚLĄSKIE";"II kwartał";"2012";3780.87;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2013";3947.05;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2014";4071.51;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2015";4230.36;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2016";4286.44;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2017";4657.11;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2018";4919.18;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2019";5302.86;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2020";5467.97;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2021";6069.40;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2022";6844.32;"zł"
"DOLNOŚLĄSKIE";"II kwartał";"2023";;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2005";2424.58;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2006";2597.86;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2007";2877.41;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2008";3185.27;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2009";3311.14;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2010";3440.31;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2011";3587.55;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2012";3711.81;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2013";3851.09;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2014";4048.89;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2015";4192.01;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2016";4474.43;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2017";4607.47;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2018";4962.20;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2019";5311.30;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2020";5645.03;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2021";6192.70;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2022";6889.33;"zł"
"DOLNOŚLĄSKIE";"III kwartał";"2023";;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2005";2578.70;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2006";2850.20;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2007";3119.40;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2008";3383.93;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2009";3496.24;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2010";3655.84;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2011";3830.15;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2012";3879.12;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2013";4081.90;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2014";4265.88;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2015";4417.13;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2016";4616.23;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2017";4974.36;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2018";5245.92;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2019";5670.27;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2020";6039.18;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2021";6752.15;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2022";7386.84;"zł"
"DOLNOŚLĄSKIE";"IV kwartał";"2023";;"zł"
"DOLNOŚLĄSKIE";"rok";"2005";2493.52;"zł"
"DOLNOŚLĄSKIE";"rok";"2006";2663.85;"zł"
"DOLNOŚLĄSKIE";"rok";"2007";2924.29;"zł"
"DOLNOŚLĄSKIE";"rok";"2008";3224.91;"zł"
"DOLNOŚLĄSKIE";"rok";"2009";3386.15;"zł"
"DOLNOŚLĄSKIE";"rok";"2010";3516.55;"zł"
"DOLNOŚLĄSKIE";"rok";"2011";3677.84;"zł"
"DOLNOŚLĄSKIE";"rok";"2012";3788.48;"zł"
"DOLNOŚLĄSKIE";"rok";"2013";3943.53;"zł"
"DOLNOŚLĄSKIE";"rok";"2014";4119.94;"zł"
"DOLNOŚLĄSKIE";"rok";"2015";4283.33;"zł"
"DOLNOŚLĄSKIE";"rok";"2016";4455.69;"zł"
"DOLNOŚLĄSKIE";"rok";"2017";4722.44;"zł"
"DOLNOŚLĄSKIE";"rok";"2018";4993.63;"zł"
"DOLNOŚLĄSKIE";"rok";"2019";5388.46;"zł"
"DOLNOŚLĄSKIE";"rok";"2020";5712.08;"zł"
"DOLNOŚLĄSKIE";"rok";"2021";6271.47;"zł"
"DOLNOŚLĄSKIE";"rok";"2022";6964.36;"zł"
"DOLNOŚLĄSKIE";"rok";"2023";;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2005";2264.36;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2006";2370.03;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2007";2549.87;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2008";2760.57;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2009";2988.56;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2010";3101.06;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2011";3204.47;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2012";3382.50;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2013";3489.63;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2014";3594.33;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2015";3744.25;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2016";3830.10;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2017";4027.89;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2018";4277.40;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2019";4629.17;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2020";5015.91;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2021";5414.48;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2022";5930.35;"zł"
"KUJAWSKO-POMORSKIE";"I kwartał";"2023";6775.46;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2005";2120.65;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2006";2231.13;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2007";2435.53;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2008";2712.41;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2009";2798.11;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2010";2904.96;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2011";3067.75;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2012";3277.58;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2013";3289.50;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2014";3440.46;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2015";3525.21;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2016";3656.11;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2017";3866.21;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2018";4121.75;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2019";4423.59;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2020";4642.51;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2021";5148.27;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2022";5855.78;"zł"
"KUJAWSKO-POMORSKIE";"II kwartał";"2023";;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2005";2174.47;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2006";2287.96;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2007";2448.34;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2008";2720.56;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2009";2883.78;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2010";2979.45;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2011";3145.38;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2012";3257.60;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2013";3388.30;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2014";3494.86;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2015";3590.64;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2016";3723.43;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2017";3949.93;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2018";4235.86;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2019";4640.70;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2020";4983.04;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2021";5436.07;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2022";5956.21;"zł"
"KUJAWSKO-POMORSKIE";"III kwartał";"2023";;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2005";2198.58;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2006";2407.93;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2007";2620.55;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2008";2849.59;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2009";2960.35;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2010";3084.37;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2011";3253.73;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2012";3328.95;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2013";3513.83;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2014";3588.51;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2015";3724.98;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2016";3848.58;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2017";4159.80;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2018";4417.46;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2019";4791.63;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2020";5092.22;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2021";5696.00;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2022";6277.85;"zł"
"KUJAWSKO-POMORSKIE";"IV kwartał";"2023";;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2005";2189.51;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2006";2324.54;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2007";2513.76;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2008";2761.03;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2009";2907.49;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2010";3017.36;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2011";3168.13;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2012";3285.48;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2013";3420.20;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2014";3529.90;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2015";3646.76;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2016";3764.58;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2017";4001.06;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2018";4263.53;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2019";4621.05;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2020";4933.89;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2021";5424.38;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2022";6006.01;"zł"
"KUJAWSKO-POMORSKIE";"rok";"2023";;"zł"
"LUBELSKIE";"I kwartał";"2005";2266.83;"zł"
"LUBELSKIE";"I kwartał";"2006";2361.40;"zł"
"LUBELSKIE";"I kwartał";"2007";2549.10;"zł"
"LUBELSKIE";"I kwartał";"2008";2791.31;"zł"
"LUBELSKIE";"I kwartał";"2009";3068.69;"zł"
"LUBELSKIE";"I kwartał";"2010";3218.19;"zł"
"LUBELSKIE";"I kwartał";"2011";3420.32;"zł"
"LUBELSKIE";"I kwartał";"2012";3600.84;"zł"
"LUBELSKIE";"I kwartał";"2013";3698.55;"zł"
"LUBELSKIE";"I kwartał";"2014";3809.44;"zł"
"LUBELSKIE";"I kwartał";"2015";3921.59;"zł"
"LUBELSKIE";"I kwartał";"2016";4136.16;"zł"
"LUBELSKIE";"I kwartał";"2017";4207.47;"zł"
"LUBELSKIE";"I kwartał";"2018";4416.49;"zł"
"LUBELSKIE";"I kwartał";"2019";4701.58;"zł"
"LUBELSKIE";"I kwartał";"2020";5053.16;"zł"
"LUBELSKIE";"I kwartał";"2021";5489.22;"zł"
"LUBELSKIE";"I kwartał";"2022";5875.67;"zł"
"LUBELSKIE";"I kwartał";"2023";6809.14;"zł"
"LUBELSKIE";"II kwartał";"2005";2118.90;"zł"
"LUBELSKIE";"II kwartał";"2006";2213.98;"zł"
"LUBELSKIE";"II kwartał";"2007";2432.61;"zł"
"LUBELSKIE";"II kwartał";"2008";2761.78;"zł"
"LUBELSKIE";"II kwartał";"2009";2826.90;"zł"
"LUBELSKIE";"II kwartał";"2010";2945.22;"zł"
"LUBELSKIE";"II kwartał";"2011";3144.48;"zł"
"LUBELSKIE";"II kwartał";"2012";3441.94;"zł"
"LUBELSKIE";"II kwartał";"2013";3363.64;"zł"
"LUBELSKIE";"II kwartał";"2014";3504.60;"zł"
"LUBELSKIE";"II kwartał";"2015";3586.19;"zł"
"LUBELSKIE";"II kwartał";"2016";3705.92;"zł"
"LUBELSKIE";"II kwartał";"2017";3865.55;"zł"
"LUBELSKIE";"II kwartał";"2018";4109.74;"zł"
"LUBELSKIE";"II kwartał";"2019";4406.63;"zł"
"LUBELSKIE";"II kwartał";"2020";4617.09;"zł"
"LUBELSKIE";"II kwartał";"2021";5105.14;"zł"
"LUBELSKIE";"II kwartał";"2022";5611.20;"zł"
"LUBELSKIE";"II kwartał";"2023";;"zł"
"LUBELSKIE";"III kwartał";"2005";2198.67;"zł"
"LUBELSKIE";"III kwartał";"2006";2289.54;"zł"
"LUBELSKIE";"III kwartał";"2007";2494.13;"zł"
"LUBELSKIE";"III kwartał";"2008";2802.99;"zł"
"LUBELSKIE";"III kwartał";"2009";2915.96;"zł"
"LUBELSKIE";"III kwartał";"2010";3058.89;"zł"
"LUBELSKIE";"III kwartał";"2011";3273.75;"zł"
"LUBELSKIE";"III kwartał";"2012";3361.49;"zł"
"LUBELSKIE";"III kwartał";"2013";3508.07;"zł"
"LUBELSKIE";"III kwartał";"2014";3539.44;"zł"
"LUBELSKIE";"III kwartał";"2015";3695.42;"zł"
"LUBELSKIE";"III kwartał";"2016";3798.04;"zł"
"LUBELSKIE";"III kwartał";"2017";3968.01;"zł"
"LUBELSKIE";"III kwartał";"2018";4226.27;"zł"
"LUBELSKIE";"III kwartał";"2019";4602.36;"zł"
"LUBELSKIE";"III kwartał";"2020";4953.44;"zł"
"LUBELSKIE";"III kwartał";"2021";5328.99;"zł"
"LUBELSKIE";"III kwartał";"2022";6069.94;"zł"
"LUBELSKIE";"III kwartał";"2023";;"zł"
"LUBELSKIE";"IV kwartał";"2005";2160.06;"zł"
"LUBELSKIE";"IV kwartał";"2006";2433.85;"zł"
"LUBELSKIE";"IV kwartał";"2007";2687.14;"zł"
"LUBELSKIE";"IV kwartał";"2008";2943.02;"zł"
"LUBELSKIE";"IV kwartał";"2009";3036.72;"zł"
"LUBELSKIE";"IV kwartał";"2010";3321.69;"zł"
"LUBELSKIE";"IV kwartał";"2011";3450.60;"zł"
"LUBELSKIE";"IV kwartał";"2012";3547.30;"zł"
"LUBELSKIE";"IV kwartał";"2013";3673.52;"zł"
"LUBELSKIE";"IV kwartał";"2014";3781.29;"zł"
"LUBELSKIE";"IV kwartał";"2015";3854.46;"zł"
"LUBELSKIE";"IV kwartał";"2016";4029.46;"zł"
"LUBELSKIE";"IV kwartał";"2017";4278.43;"zł"
"LUBELSKIE";"IV kwartał";"2018";4555.26;"zł"
"LUBELSKIE";"IV kwartał";"2019";4801.72;"zł"
"LUBELSKIE";"IV kwartał";"2020";5165.64;"zł"
"LUBELSKIE";"IV kwartał";"2021";5691.02;"zł"
"LUBELSKIE";"IV kwartał";"2022";6286.95;"zł"
"LUBELSKIE";"IV kwartał";"2023";;"zł"
"LUBELSKIE";"rok";"2005";2185.59;"zł"
"LUBELSKIE";"rok";"2006";2325.27;"zł"
"LUBELSKIE";"rok";"2007";2541.86;"zł"
"LUBELSKIE";"rok";"2008";2825.18;"zł"
"LUBELSKIE";"rok";"2009";2962.37;"zł"
"LUBELSKIE";"rok";"2010";3137.39;"zł"
"LUBELSKIE";"rok";"2011";3322.70;"zł"
"LUBELSKIE";"rok";"2012";3448.39;"zł"
"LUBELSKIE";"rok";"2013";3561.27;"zł"
"LUBELSKIE";"rok";"2014";3659.25;"zł"
"LUBELSKIE";"rok";"2015";3764.88;"zł"
"LUBELSKIE";"rok";"2016";3917.35;"zł"
"LUBELSKIE";"rok";"2017";4079.84;"zł"
"LUBELSKIE";"rok";"2018";4327.42;"zł"
"LUBELSKIE";"rok";"2019";4627.78;"zł"
"LUBELSKIE";"rok";"2020";4948.09;"zł"
"LUBELSKIE";"rok";"2021";5403.55;"zł"
"LUBELSKIE";"rok";"2022";5961.68;"zł"
"LUBELSKIE";"rok";"2023";;"zł"
"LUBUSKIE";"I kwartał";"2005";2241.18;"zł"
"LUBUSKIE";"I kwartał";"2006";2344.60;"zł"
"LUBUSKIE";"I kwartał";"2007";2501.37;"zł"
"LUBUSKIE";"I kwartał";"2008";2750.48;"zł"
"LUBUSKIE";"I kwartał";"2009";2928.47;"zł"
"LUBUSKIE";"I kwartał";"2010";3081.41;"zł"
"LUBUSKIE";"I kwartał";"2011";3213.70;"zł"
"LUBUSKIE";"I kwartał";"2012";3390.51;"zł"
"LUBUSKIE";"I kwartał";"2013";3485.39;"zł"
"LUBUSKIE";"I kwartał";"2014";3601.36;"zł"
"LUBUSKIE";"I kwartał";"2015";3757.47;"zł"
"LUBUSKIE";"I kwartał";"2016";3867.86;"zł"
"LUBUSKIE";"I kwartał";"2017";4071.17;"zł"
"LUBUSKIE";"I kwartał";"2018";4347.41;"zł"
"LUBUSKIE";"I kwartał";"2019";4663.18;"zł"
"LUBUSKIE";"I kwartał";"2020";5011.66;"zł"
"LUBUSKIE";"I kwartał";"2021";5384.86;"zł"
"LUBUSKIE";"I kwartał";"2022";5895.15;"zł"
"LUBUSKIE";"I kwartał";"2023";6882.58;"zł"
"LUBUSKIE";"II kwartał";"2005";2104.32;"zł"
"LUBUSKIE";"II kwartał";"2006";2205.04;"zł"
"LUBUSKIE";"II kwartał";"2007";2415.94;"zł"
"LUBUSKIE";"II kwartał";"2008";2700.00;"zł"
"LUBUSKIE";"II kwartał";"2009";2836.93;"zł"
"LUBUSKIE";"II kwartał";"2010";2989.10;"zł"
"LUBUSKIE";"II kwartał";"2011";3044.22;"zł"
"LUBUSKIE";"II kwartał";"2012";3267.98;"zł"
"LUBUSKIE";"II kwartał";"2013";3263.88;"zł"
"LUBUSKIE";"II kwartał";"2014";3425.21;"zł"
"LUBUSKIE";"II kwartał";"2015";3488.78;"zł"
"LUBUSKIE";"II kwartał";"2016";3707.76;"zł"
"LUBUSKIE";"II kwartał";"2017";3939.20;"zł"
"LUBUSKIE";"II kwartał";"2018";4190.49;"zł"
"LUBUSKIE";"II kwartał";"2019";4434.73;"zł"
"LUBUSKIE";"II kwartał";"2020";4510.87;"zł"
"LUBUSKIE";"II kwartał";"2021";5140.86;"zł"
"LUBUSKIE";"II kwartał";"2022";5881.54;"zł"
"LUBUSKIE";"II kwartał";"2023";;"zł"
"LUBUSKIE";"III kwartał";"2005";2161.06;"zł"
"LUBUSKIE";"III kwartał";"2006";2260.48;"zł"
"LUBUSKIE";"III kwartał";"2007";2495.71;"zł"
"LUBUSKIE";"III kwartał";"2008";2696.81;"zł"
"LUBUSKIE";"III kwartał";"2009";2859.98;"zł"
"LUBUSKIE";"III kwartał";"2010";2867.13;"zł"
"LUBUSKIE";"III kwartał";"2011";3141.46;"zł"
"LUBUSKIE";"III kwartał";"2012";3181.02;"zł"
"LUBUSKIE";"III kwartał";"2013";3343.24;"zł"
"LUBUSKIE";"III kwartał";"2014";3450.76;"zł"
"LUBUSKIE";"III kwartał";"2015";3585.40;"zł"
"LUBUSKIE";"III kwartał";"2016";3754.67;"zł"
"LUBUSKIE";"III kwartał";"2017";3953.77;"zł"
"LUBUSKIE";"III kwartał";"2018";4307.92;"zł"
"LUBUSKIE";"III kwartał";"2019";4605.29;"zł"
"LUBUSKIE";"III kwartał";"2020";4865.48;"zł"
"LUBUSKIE";"III kwartał";"2021";5333.90;"zł"
"LUBUSKIE";"III kwartał";"2022";6082.99;"zł"
"LUBUSKIE";"III kwartał";"2023";;"zł"
"LUBUSKIE";"IV kwartał";"2005";2238.77;"zł"
"LUBUSKIE";"IV kwartał";"2006";2415.26;"zł"
"LUBUSKIE";"IV kwartał";"2007";2631.38;"zł"
"LUBUSKIE";"IV kwartał";"2008";2842.72;"zł"
"LUBUSKIE";"IV kwartał";"2009";2971.12;"zł"
"LUBUSKIE";"IV kwartał";"2010";3131.01;"zł"
"LUBUSKIE";"IV kwartał";"2011";3267.41;"zł"
"LUBUSKIE";"IV kwartał";"2012";3386.49;"zł"
"LUBUSKIE";"IV kwartał";"2013";3433.77;"zł"
"LUBUSKIE";"IV kwartał";"2014";3580.76;"zł"
"LUBUSKIE";"IV kwartał";"2015";3718.20;"zł"
"LUBUSKIE";"IV kwartał";"2016";3962.52;"zł"
"LUBUSKIE";"IV kwartał";"2017";4177.14;"zł"
"LUBUSKIE";"IV kwartał";"2018";4548.38;"zł"
"LUBUSKIE";"IV kwartał";"2019";4825.60;"zł"
"LUBUSKIE";"IV kwartał";"2020";5112.52;"zł"
"LUBUSKIE";"IV kwartał";"2021";5632.50;"zł"
"LUBUSKIE";"IV kwartał";"2022";6420.03;"zł"
"LUBUSKIE";"IV kwartał";"2023";;"zł"
"LUBUSKIE";"rok";"2005";2186.41;"zł"
"LUBUSKIE";"rok";"2006";2306.53;"zł"
"LUBUSKIE";"rok";"2007";2511.14;"zł"
"LUBUSKIE";"rok";"2008";2747.87;"zł"
"LUBUSKIE";"rok";"2009";2899.35;"zł"
"LUBUSKIE";"rok";"2010";3017.55;"zł"
"LUBUSKIE";"rok";"2011";3166.64;"zł"
"LUBUSKIE";"rok";"2012";3276.06;"zł"
"LUBUSKIE";"rok";"2013";3382.03;"zł"
"LUBUSKIE";"rok";"2014";3514.50;"zł"
"LUBUSKIE";"rok";"2015";3638.01;"zł"
"LUBUSKIE";"rok";"2016";3823.27;"zł"
"LUBUSKIE";"rok";"2017";4036.21;"zł"
"LUBUSKIE";"rok";"2018";4348.69;"zł"
"LUBUSKIE";"rok";"2019";4632.37;"zł"
"LUBUSKIE";"rok";"2020";4876.10;"zł"
"LUBUSKIE";"rok";"2021";5373.26;"zł"
"LUBUSKIE";"rok";"2022";6071.83;"zł"
"LUBUSKIE";"rok";"2023";;"zł"
"ŁÓDZKIE";"I kwartał";"2005";2263.81;"zł"
"ŁÓDZKIE";"I kwartał";"2006";2349.27;"zł"
"ŁÓDZKIE";"I kwartał";"2007";2528.57;"zł"
"ŁÓDZKIE";"I kwartał";"2008";2776.22;"zł"
"ŁÓDZKIE";"I kwartał";"2009";2992.66;"zł"
"ŁÓDZKIE";"I kwartał";"2010";3198.71;"zł"
"ŁÓDZKIE";"I kwartał";"2011";3380.91;"zł"
"ŁÓDZKIE";"I kwartał";"2012";3571.59;"zł"
"ŁÓDZKIE";"I kwartał";"2013";3677.50;"zł"
"ŁÓDZKIE";"I kwartał";"2014";3818.49;"zł"
"ŁÓDZKIE";"I kwartał";"2015";3978.30;"zł"
"ŁÓDZKIE";"I kwartał";"2016";4091.50;"zł"
"ŁÓDZKIE";"I kwartał";"2017";4241.80;"zł"
"ŁÓDZKIE";"I kwartał";"2018";4514.04;"zł"
"ŁÓDZKIE";"I kwartał";"2019";4851.81;"zł"
"ŁÓDZKIE";"I kwartał";"2020";5274.12;"zł"
"ŁÓDZKIE";"I kwartał";"2021";5766.99;"zł"
"ŁÓDZKIE";"I kwartał";"2022";6209.09;"zł"
"ŁÓDZKIE";"I kwartał";"2023";7061.40;"zł"
"ŁÓDZKIE";"II kwartał";"2005";2148.95;"zł"
"ŁÓDZKIE";"II kwartał";"2006";2257.29;"zł"
"ŁÓDZKIE";"II kwartał";"2007";2416.02;"zł"
"ŁÓDZKIE";"II kwartał";"2008";2732.36;"zł"
"ŁÓDZKIE";"II kwartał";"2009";2868.61;"zł"
"ŁÓDZKIE";"II kwartał";"2010";2993.09;"zł"
"ŁÓDZKIE";"II kwartał";"2011";3204.98;"zł"
"ŁÓDZKIE";"II kwartał";"2012";3438.31;"zł"
"ŁÓDZKIE";"II kwartał";"2013";3447.65;"zł"
"ŁÓDZKIE";"II kwartał";"2014";3572.84;"zł"
"ŁÓDZKIE";"II kwartał";"2015";3698.63;"zł"
